team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
Hartford,Stony Brook,49,63,Stony Brook,3,7,46,56,Stony Brook
NJIT,Hartford,67,57,NJIT,7,8,60,49,NJIT
NJIT,Hartford,61,75,Hartford,8,9,53,66,Hartford
Maine,Boston College,62,78,Boston College,8,9,54,69,Boston College
New Hampshire,Maine,56,59,Maine,4,6,52,53,Maine
New Hampshire,Maine,62,58,New Hampshire,2,9,60,49,New Hampshire
Maine,NJIT,54,63,NJIT,10,8,44,55,NJIT
Maine,NJIT,45,41,Maine,5,1,40,40,NJIT
Maine,Vermont,30,65,Vermont,1,7,29,58,Vermont
Maine,Vermont,60,88,Vermont,9,10,51,78,Vermont
NJIT,Temple,60,72,Temple,5,6,55,66,Temple
NJIT,Rider,81,66,NJIT,10,6,71,60,NJIT
NJIT,Vermont,78,92,Vermont,6,12,72,80,Vermont
NJIT,Vermont,81,80,NJIT,6,5,75,75,Vermont
NJIT,UMass Lowell,73,67,NJIT,6,4,67,63,NJIT
NJIT,UMass Lowell,60,74,UMass Lowell,3,5,57,69,UMass Lowell
Stony Brook,NJIT,65,74,NJIT,3,9,62,65,NJIT
Stony Brook,NJIT,56,44,Stony Brook,1,8,55,36,Stony Brook
UMBC,NJIT,65,69,NJIT,12,6,53,63,NJIT
UMBC,NJIT,75,71,UMBC,3,6,72,65,UMBC
Keene State,New Hampshire,54,93,New Hampshire,6,7,48,86,New Hampshire
Bryant,New Hampshire,93,85,Bryant,7,11,86,74,Bryant
New Hampshire,Quinnipiac,58,64,Quinnipiac,5,9,53,55,Quinnipiac
UMBC,New Hampshire,69,54,UMBC,7,6,62,48,UMBC
UMBC,New Hampshire,68,66,UMBC,2,9,66,57,UMBC
New Hampshire,Stony Brook,81,64,New Hampshire,13,5,68,59,New Hampshire
New Hampshire,Stony Brook,67,64,New Hampshire,9,5,58,59,Stony Brook
UMass Lowell,New Hampshire,74,69,UMass Lowell,7,8,67,61,UMass Lowell
UMass Lowell,New Hampshire,63,74,New Hampshire,4,8,59,66,New Hampshire
New Hampshire,UMass Lowell,69,67,New Hampshire,4,7,65,60,New Hampshire
UMass Lowell,New Hampshire,72,64,UMass Lowell,6,5,66,59,UMass Lowell
Stony Brook,Saint Peter's,68,82,Saint Peter's,8,12,60,70,Saint Peter's
Fairfield,Stony Brook,69,72,Stony Brook,5,4,64,68,Stony Brook
Stony Brook,St. John's,66,89,St. John's,7,8,59,81,St. John's
Stony Brook,Hofstra,67,72,Hofstra,6,8,61,64,Hofstra
Stony Brook,Bryant,72,81,Bryant,5,11,67,70,Bryant
Point Park,Stony Brook,39,83,Stony Brook,4,7,35,76,Stony Brook
UMass Lowell,Stony Brook,58,73,Stony Brook,4,7,54,66,Stony Brook
UMass Lowell,Stony Brook,64,71,Stony Brook,4,5,60,66,Stony Brook
UMBC,Stony Brook,71,65,UMBC,10,8,61,57,UMBC
UMBC,Stony Brook,60,48,UMBC,9,8,51,40,UMBC
Stony Brook,Vermont,78,86,Vermont,8,8,70,78,Vermont
Stony Brook,Vermont,57,61,Vermont,5,10,52,51,Stony Brook
Stony Brook,UMass Lowell,62,64,UMass Lowell,8,5,54,59,UMass Lowell
UMBC,Georgetown,62,70,Georgetown,6,7,56,63,Georgetown
UMBC,St. Francis (PA),80,65,UMBC,5,5,75,60,UMBC
George Washington,UMBC,81,92,UMBC,10,10,71,82,UMBC
Delaware,UMBC,61,76,UMBC,6,7,55,69,UMBC
UMBC,Coppin State,66,49,UMBC,3,7,63,42,UMBC
Vermont,UMBC,80,71,Vermont,10,8,70,63,Vermont
Vermont,UMBC,55,66,UMBC,4,5,51,61,UMBC
San Francisco,UMass Lowell,68,76,UMass Lowell,5,5,63,71,UMass Lowell
Illinois State,UMass Lowell,82,72,Illinois State,8,5,74,67,Illinois State
UMass Lowell,Ohio State,64,74,Ohio State,11,4,53,70,Ohio State
UMass Lowell,NC State,59,90,NC State,3,12,56,78,NC State
Vermont,UMass Lowell,65,73,UMass Lowell,8,11,57,62,UMass Lowell
