team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
Kent State,Akron,62,66,Akron,5,11,57,55,Kent State
Akron,Eastern Michigan,59,71,Eastern Michigan,7,6,52,65,Eastern Michigan
Akron,Northern Illinois,65,67,Northern Illinois,9,7,56,60,Northern Illinois
Toledo,Akron,94,95,Akron,12,14,82,81,Toledo
Akron,Bowling Green,69,57,Akron,8,8,61,49,Akron
Central Michigan,Akron,67,81,Akron,1,12,66,69,Akron
Akron,Western Michigan,79,68,Akron,10,5,69,63,Akron
Eastern Michigan,Akron,65,86,Akron,9,10,56,76,Akron
Ball State,Akron,42,74,Akron,4,8,38,66,Akron
Akron,Toledo,76,91,Toledo,8,13,68,78,Toledo
Akron,Kent State,72,61,Akron,11,6,61,55,Akron
Akron,Miami (OH),83,76,Akron,14,5,69,71,Miami (OH)
Northern Illinois,Akron,76,81,Akron,9,11,67,70,Akron
Akron,Ball State,88,79,Akron,9,8,79,71,Akron
Akron,Ohio,73,90,Ohio,8,10,65,80,Ohio
Bowling Green,Akron,83,71,Bowling Green,7,7,76,64,Bowling Green
Ball State,Northern Illinois,79,70,Ball State,10,5,69,65,Ball State
Illinois State,Ball State,66,82,Ball State,9,9,57,73,Ball State
Ball State,Indiana State,57,67,Indiana State,5,4,52,63,Indiana State
Ball State,Western Michigan,76,68,Ball State,9,6,67,62,Ball State
Ohio,Ball State,78,68,Ohio,7,9,71,59,Ohio
Ball State,Buffalo,69,86,Buffalo,5,11,64,75,Buffalo
Ball State,Bowling Green,88,64,Ball State,12,5,76,59,Ball State
Northern Illinois,Ball State,58,78,Ball State,8,8,50,70,Ball State
Ball State,Miami (OH),71,81,Miami (OH),8,8,63,73,Miami (OH)
Ball State,Ohio,77,85,Ohio,12,5,65,80,Ohio
Buffalo,Ball State,78,58,Buffalo,8,7,70,51,Buffalo
Toledo,Ball State,67,81,Ball State,7,15,60,66,Ball State
Bowling Green,Ball State,75,62,Bowling Green,7,5,68,57,Bowling Green
Kent State,Ball State,71,90,Ball State,5,13,66,77,Ball State
Central Michigan,Ball State,91,97,Ball State,10,13,81,84,Ball State
South Carolina State,Bowling Green,78,101,Bowling Green,13,10,65,91,Bowling Green
Bowling Green,Appalachian State,78,76,Bowling Green,7,13,71,63,Bowling Green
Purdue Northwest,Bowling Green,67,88,Bowling Green,6,10,61,78,Bowling Green
Buffalo,Bowling Green,78,86,Bowling Green,4,9,74,77,Bowling Green
Bowling Green,Ohio,83,75,Bowling Green,7,12,76,63,Bowling Green
Bowling Green,Northern Illinois,68,42,Bowling Green,6,2,62,40,Bowling Green
Central Michigan,Bowling Green,69,90,Bowling Green,6,8,63,82,Bowling Green
Bowling Green,Central Michigan,93,65,Bowling Green,12,3,81,62,Bowling Green
Bowling Green,Buffalo,76,69,Bowling Green,5,6,71,63,Bowling Green
Bowling Green,Miami (OH),77,96,Miami (OH),6,11,71,85,Miami (OH)
Bowling Green,Kent State,91,96,Kent State,10,13,81,83,Kent State
Toledo,Bowling Green,84,66,Toledo,10,8,74,58,Toledo
Western Michigan,Bowling Green,76,70,Western Michigan,12,8,64,62,Western Michigan
Kent State,Bowling Green,71,67,Kent State,7,9,64,58,Kent State
Bowling Green,Toledo,88,81,Bowling Green,10,11,78,70,Bowling Green
Bowling Green,Eastern Michigan,82,69,Bowling Green,15,5,67,64,Bowling Green
Buffalo,Army,74,78,Army,5,4,69,74,Army
Mercyhurst,Buffalo,64,81,Buffalo,7,6,57,75,Buffalo
Buffalo,Miami (OH),90,62,Buffalo,11,6,79,56,Buffalo
Buffalo,Western Michigan,85,69,Buffalo,10,8,75,61,Buffalo
Buffalo,Kent State,81,84,Kent State,6,4,75,80,Kent State
Eastern Michigan,Buffalo,77,92,Buffalo,5,8,72,84,Buffalo
Ohio,Buffalo,76,75,Ohio,6,8,70,67,Ohio
Miami (OH),Buffalo,64,88,Buffalo,8,11,56,77,Buffalo
Western Michigan,Buffalo,54,86,Buffalo,5,8,49,78,Buffalo
Toledo,Buffalo,80,70,Toledo,10,2,70,68,Toledo
Buffalo,Northern Illinois,102,74,Buffalo,3,5,99,69,Buffalo
Central Michigan,Buffalo,73,85,Buffalo,7,5,66,80,Buffalo
Buffalo,Ohio,86,66,Buffalo,6,4,80,62,Buffalo
Flagler,Central Michigan,92,73,Flagler,7,9,85,64,Flagler
Central Michigan,Western Illinois,79,73,Central Michigan,6,7,73,66,Central Michigan
Valparaiso,Central Michigan,79,84,Central Michigan,7,9,72,75,Central Michigan
St. Francis (ILL),Central Michigan,39,91,Central Michigan,2,6,37,85,Central Michigan
Central Michigan,Western Michigan,61,76,Western Michigan,5,8,56,68,Western Michigan
Olivet College,Central Michigan,66,127,Central Michigan,8,13,58,114,Central Michigan
Central Michigan,Eastern Michigan,87,60,Central Michigan,9,9,78,51,Central Michigan
Kent State,Central Michigan,94,85,Kent State,7,4,87,81,Kent State
Eastern Michigan,Central Michigan,64,75,Central Michigan,3,8,61,67,Central Michigan
Central Michigan,Toledo,72,89,Toledo,4,9,68,80,Toledo
Central Michigan,Kent State,76,83,Kent State,9,9,67,74,Kent State
Ohio,Central Michigan,83,69,Ohio,6,9,77,60,Ohio
Western Michigan,Central Michigan,67,65,Western Michigan,9,3,58,62,Central Michigan
Miami (OH),Central Michigan,96,54,Miami (OH),18,5,78,49,Miami (OH)
Toledo,Eastern Michigan,91,74,Toledo,11,9,80,65,Toledo
Adrian College,Eastern Michigan,35,95,Eastern Michigan,2,7,33,88,Eastern Michigan
Olivet College,Eastern Michigan,65,94,Eastern Michigan,11,14,54,80,Eastern Michigan
Eastern Michigan,Toledo,63,96,Toledo,7,17,56,79,Toledo
Calvin,Eastern Michigan,56,67,Eastern Michigan,7,4,49,63,Eastern Michigan
Miami (OH),Eastern Michigan,85,63,Miami (OH),8,5,77,58,Miami (OH)
Eastern Michigan,Kent State,51,64,Kent State,5,8,46,56,Kent State
Eastern Michigan,Ohio,67,86,Ohio,8,12,59,74,Ohio
Northern Illinois,Eastern Michigan,57,91,Eastern Michigan,6,12,51,79,Eastern Michigan
Point Park,Kent State,41,90,Kent State,5,5,36,85,Kent State
Toledo,Kent State,84,82,Toledo,13,13,71,69,Toledo
Western Michigan,Kent State,54,80,Kent State,4,9,50,71,Kent State
Kent State,Ohio,89,79,Kent State,9,14,80,65,Kent State
Kent State,Toledo,74,76,Toledo,7,8,67,68,Toledo
Miami (OH),Kent State,68,77,Kent State,7,11,61,66,Kent State
Northern Illinois,Kent State,58,80,Kent State,6,11,52,69,Kent State
Kent State,Western Michigan,76,69,Kent State,5,9,71,60,Kent State
Kent State,Miami (OH),64,51,Kent State,6,8,58,43,Kent State
North Dakota,Miami (OH),67,81,Miami (OH),7,5,60,76,Miami (OH)
Western Illinois,Miami (OH),57,67,Miami (OH),7,7,50,60,Miami (OH)
Mount St. Joseph,Miami (OH),64,79,Miami (OH),9,12,55,67,Miami (OH)
Miami (OH),Bradley,68,69,Bradley,13,6,55,63,Bradley
Northern Illinois,Miami (OH),58,70,Miami (OH),6,10,52,60,Miami (OH)
Miami (OH),Ohio,61,78,Ohio,8,11,53,67,Ohio
Toledo,Miami (OH),90,81,Toledo,11,8,79,73,Toledo
Western Michigan,Miami (OH),56,65,Miami (OH),3,5,53,60,Miami (OH)
Miami (OH),Toledo,75,87,Toledo,11,15,64,72,Toledo
Miami (OH),Northern Illinois,69,64,Miami (OH),7,7,62,57,Miami (OH)
Miami (OH),Western Michigan,74,66,Miami (OH),10,8,64,58,Miami (OH)
SIU Edwardsville,Northern Illinois,73,53,SIU Edwardsville,8,2,65,51,SIU Edwardsville
Chicago State,Northern Illinois,54,64,Northern Illinois,8,3,46,61,Northern Illinois
Northern Illinois,Toledo,55,78,Toledo,1,12,54,66,Toledo
Northern Illinois,Ohio,73,76,Ohio,10,8,63,68,Ohio
Chicago State,Ohio,61,84,Ohio,4,8,57,76,Ohio
Ohio,North Carolina A&T,84,72,Ohio,13,9,71,63,Ohio
Purdue Northwest,Ohio,72,92,Ohio,7,6,65,86,Ohio
Ohio,Toledo,78,95,Toledo,9,12,69,83,Toledo
Western Michigan,Ohio,58,81,Ohio,8,7,50,74,Ohio
Bradley,Toledo,61,59,Bradley,5,11,56,48,Bradley
UM Kansas City,Toledo,57,64,Toledo,6,7,51,57,Toledo
Valparaiso,Toledo,57,71,Toledo,4,10,53,61,Toledo
Toledo,Western Michigan,70,59,Toledo,8,5,62,54,Toledo
Western Michigan,Toledo,44,91,Toledo,3,13,41,78,Toledo
Adrian College,Western Michigan,42,62,Western Michigan,3,2,39,60,Western Michigan
UNC Greensboro,Coppin State,80,86,Coppin State,5,10,75,76,Coppin State
Delaware State,Coppin State,78,86,Coppin State,10,9,68,77,Coppin State
Delaware State,Coppin State,77,81,Coppin State,13,8,64,73,Coppin State
Coppin State,Morgan St,72,92,Morgan St,9,10,63,82,Morgan St
Coppin State,Morgan St,89,79,Coppin State,12,11,77,68,Coppin State
Norfolk St,Coppin State,71,81,Coppin State,5,12,66,69,Coppin State
Norfolk St,Coppin State,77,81,Coppin State,8,12,69,69,Coppin State
Morgan St,Coppin State,79,76,Morgan St,8,6,71,70,Morgan St
Morgan St,Coppin State,95,82,Morgan St,13,6,82,76,Morgan St
Coppin State,Norfolk St,72,84,Norfolk St,10,6,62,78,Norfolk St
Coppin State,Norfolk St,74,64,Coppin State,11,9,63,55,Coppin State
Coppin State,Delaware State,81,68,Coppin State,7,5,74,63,Coppin State
Coppin State,Delaware State,94,74,Coppin State,10,7,84,67,Coppin State
Delaware State,Coastal Carolina,73,99,Coastal Carolina,11,6,62,93,Coastal Carolina
Norfolk St,Delaware State,87,76,Norfolk St,13,12,74,64,Norfolk St
Norfolk St,Delaware State,83,79,Norfolk St,5,12,78,67,Norfolk St
Delaware State,Morgan St,83,99,Morgan St,9,7,74,92,Morgan St
Delaware State,Norfolk St,66,94,Norfolk St,8,15,58,79,Norfolk St
Lancaster Bible College,Delaware State,80,81,Delaware State,10,7,70,74,Delaware State
Delaware State,Morgan St,69,74,Morgan St,10,3,59,71,Morgan St
St. Mary's (MD),Delaware State,58,75,Delaware State,7,7,51,68,Delaware State
Delaware State,Norfolk St,55,86,Norfolk St,6,9,49,77,Norfolk St
Florida A&M,Georgia,75,85,Georgia,2,5,73,80,Georgia
Florida A&M,Oregon,66,87,Oregon,3,6,63,81,Oregon
Florida A&M,Austin Peay,76,70,Florida A&M,7,6,69,64,Florida A&M
Florida A&M,South Carolina,71,78,South Carolina,6,8,65,70,South Carolina
South Carolina State,Florida A&M,68,70,Florida A&M,7,6,61,64,Florida A&M
Florida A&M,North Carolina A&T,58,70,North Carolina A&T,6,6,52,64,North Carolina A&T
Florida A&M,North Carolina A&T,65,67,North Carolina A&T,3,8,62,59,Florida A&M
North Carolina Central,Florida A&M,50,59,Florida A&M,2,6,48,53,Florida A&M
North Carolina Central,Florida A&M,47,60,Florida A&M,3,4,44,56,Florida A&M
North Carolina A&T,Florida A&M,57,71,Florida A&M,4,3,53,68,Florida A&M
North Carolina A&T,Florida A&M,70,63,North Carolina A&T,4,5,66,58,North Carolina A&T
Florida A&M,South Carolina State,75,67,Florida A&M,2,6,73,61,Florida A&M
Florida A&M,South Carolina State,57,63,South Carolina State,3,5,54,58,South Carolina State
Florida A&M,South Carolina State,63,58,Florida A&M,3,6,60,52,Florida A&M
Belmont,Howard,95,78,Belmont,9,11,86,67,Belmont
Howard,Queens NC,71,85,Queens NC,2,7,69,78,Queens NC
Mount St. Mary's,Morgan St,62,55,Mount St. Mary's,4,3,58,52,Mount St. Mary's
Lincoln PA,Morgan St,94,102,Morgan St,8,14,86,88,Morgan St
W. Virginia Tech,Morgan St,73,67,W. Virginia Tech,12,5,61,62,Morgan St
Morgan St,Norfolk St,78,74,Morgan St,8,10,70,64,Morgan St
Morgan St,Norfolk St,85,89,Norfolk St,13,9,72,80,Norfolk St
St. Mary's (MD),Morgan St,41,99,Morgan St,4,9,37,90,Morgan St
Norfolk St,Morgan St,74,69,Norfolk St,8,7,66,62,Norfolk St
Norfolk St,Morgan St,68,65,Norfolk St,4,4,64,61,Norfolk St
Norfolk St,UNC Greensboro,47,64,UNC Greensboro,2,4,45,60,UNC Greensboro
NC Wesleyan,Norfolk St,58,80,Norfolk St,5,7,53,73,Norfolk St
St. Mary's (MD),Norfolk St,51,72,Norfolk St,6,6,45,66,Norfolk St
North Carolina A&T,Chicago State,74,44,North Carolina A&T,10,4,64,40,North Carolina A&T
North Carolina A&T,The Citadel,70,78,The Citadel,4,11,66,67,The Citadel
Stanford,North Carolina A&T,78,46,Stanford,8,4,70,42,Stanford
Western Carolina,North Carolina A&T,104,98,Western Carolina,11,11,93,87,Western Carolina
Greensboro,North Carolina A&T,45,91,North Carolina A&T,10,10,35,81,North Carolina A&T
UNC Greensboro,North Carolina A&T,86,65,UNC Greensboro,9,3,77,62,UNC Greensboro
North Carolina A&T,South Carolina State,97,86,North Carolina A&T,3,11,94,75,North Carolina A&T
North Carolina A&T,South Carolina State,73,66,North Carolina A&T,4,10,69,56,North Carolina A&T
Carver College,North Carolina A&T,46,112,North Carolina A&T,3,12,43,100,North Carolina A&T
North Carolina A&T,North Carolina Central,79,63,North Carolina A&T,6,7,73,56,North Carolina A&T
North Carolina Central,North Carolina A&T,53,55,North Carolina A&T,7,7,46,48,North Carolina A&T
Southern,North Carolina Central,78,85,North Carolina Central,6,9,72,76,North Carolina Central
North Carolina Central,Coastal Carolina,71,78,Coastal Carolina,5,7,66,71,Coastal Carolina
Carver College,North Carolina Central,61,94,North Carolina Central,5,9,56,85,North Carolina Central
South Carolina State,North Carolina Central,77,91,North Carolina Central,7,14,70,77,North Carolina Central
South Carolina State,North Carolina Central,63,64,North Carolina Central,6,8,57,56,South Carolina State
Appalachian State,South Carolina State,81,61,Appalachian State,7,7,74,54,Appalachian State
South Carolina State,Furman,52,118,Furman,4,21,48,97,Furman
Judson College,Bradley,32,105,Bradley,3,9,29,96,Bradley
South Dakota State,Bradley,88,84,South Dakota State,17,8,71,76,Bradley
Lewis,Bradley,62,95,Bradley,7,11,55,84,Bradley
Jackson State,Bradley,60,83,Bradley,3,8,57,75,Bradley
Bradley,Missouri,53,54,Missouri,2,3,51,51,Bradley
Bradley,Northern Iowa,72,78,Northern Iowa,10,10,62,68,Northern Iowa
Bradley,Northern Iowa,75,73,Bradley,8,12,67,61,Bradley
Evansville,Bradley,60,69,Bradley,14,3,46,66,Bradley
Evansville,Bradley,55,86,Bradley,9,10,46,76,Bradley
Bradley,Illinois State,56,71,Illinois State,6,9,50,62,Illinois State
Loyola Chicago,Bradley,69,56,Loyola Chicago,3,2,66,54,Loyola Chicago
Loyola Chicago,Bradley,65,58,Loyola Chicago,9,6,56,52,Loyola Chicago
Bradley,Valparaiso,85,91,Valparaiso,4,11,81,80,Bradley
Bradley,Indiana State,57,60,Indiana State,3,7,54,53,Bradley
Bradley,Indiana State,55,67,Indiana State,4,7,51,60,Indiana State
Southern Illinois,Bradley,66,74,Bradley,11,10,55,64,Bradley
Southern Illinois,Bradley,69,68,Southern Illinois,11,8,58,60,Bradley
Bradley,Valparaiso,76,52,Bradley,13,7,63,45,Bradley
Bradley,Missouri State,58,80,Missouri State,3,14,55,66,Missouri State
Bradley,Missouri State,57,72,Missouri State,8,11,49,61,Missouri State
Illinois State,Bradley,88,71,Illinois State,10,8,78,63,Illinois State
Drake,Bradley,80,71,Drake,12,8,68,63,Drake
Drake,Bradley,61,67,Bradley,2,6,59,61,Bradley
South Dakota,Drake,53,69,Drake,2,7,51,62,Drake
Omaha,Drake,66,87,Drake,6,8,60,79,Drake
St. Ambrose,Drake,53,97,Drake,10,14,43,83,Drake
McKendree,Drake,66,90,Drake,11,4,55,86,Drake
Air Force,Drake,53,81,Drake,4,10,49,71,Drake
Drake,South Dakota,75,57,Drake,7,4,68,53,Drake
Chicago State,Drake,67,111,Drake,7,12,60,99,Drake
North Dakota,Drake,55,88,Drake,3,8,52,80,Drake
Drake,Indiana State,81,63,Drake,9,7,72,56,Drake
Drake,Indiana State,73,66,Drake,4,6,69,60,Drake
Southern Illinois,Drake,55,73,Drake,6,9,49,64,Drake
Southern Illinois,Drake,55,86,Drake,7,9,48,77,Drake
Drake,Missouri State,68,61,Drake,4,2,64,59,Drake
Drake,Missouri State,78,73,Drake,4,5,74,68,Drake
Illinois State,Drake,76,78,Drake,9,4,67,74,Drake
Illinois State,Drake,60,95,Drake,6,13,54,82,Drake
Drake,Valparaiso,80,77,Drake,5,12,75,65,Drake
Drake,Valparaiso,57,74,Valparaiso,2,4,55,70,Valparaiso
Northern Iowa,Drake,59,80,Drake,5,6,54,74,Drake
Loyola Chicago,Drake,81,54,Loyola Chicago,5,3,76,51,Loyola Chicago
Loyola Chicago,Drake,50,51,Drake,4,3,46,48,Drake
Drake,Northern Iowa,77,69,Drake,9,7,68,62,Drake
Evansville,Drake,71,85,Drake,5,11,66,74,Drake
Evansville,Drake,63,74,Drake,9,8,54,66,Drake
Evansville,Prairie View A&M,61,64,Prairie View A&M,7,5,54,59,Prairie View A&M
Evansville,UT Martin,87,93,UT Martin,15,10,72,83,UT Martin
Eastern Illinois,Evansville,65,68,Evansville,11,9,54,59,Evansville
Southeast Missouri State,Evansville,63,66,Evansville,8,8,55,58,Evansville
Belmont,Evansville,72,63,Belmont,4,11,68,52,Belmont
Evansville,Southern Illinois,57,63,Southern Illinois,10,2,47,61,Southern Illinois
Evansville,Southern Illinois,84,72,Evansville,17,10,67,62,Evansville
Northern Iowa,Evansville,61,65,Evansville,0,11,61,54,Northern Iowa
Northern Iowa,Evansville,64,70,Evansville,7,12,57,58,Evansville
Illinois State,Evansville,48,57,Evansville,6,7,42,50,Evansville
Illinois State,Evansville,73,68,Illinois State,7,13,66,55,Illinois State
Valparaiso,Evansville,52,70,Evansville,5,6,47,64,Evansville
Valparaiso,Evansville,51,58,Evansville,5,8,46,50,Evansville
Evansville,Loyola Chicago,55,68,Loyola Chicago,11,4,44,64,Loyola Chicago
Evansville,Loyola Chicago,58,69,Loyola Chicago,7,3,51,66,Loyola Chicago
Indiana State,Evansville,76,70,Indiana State,5,7,71,63,Indiana State
Evansville,Indiana State,73,87,Indiana State,12,7,61,80,Indiana State
Missouri State,Evansville,90,81,Missouri State,8,10,82,71,Missouri State
Missouri State,Evansville,63,72,Evansville,1,12,62,60,Missouri State
Greenville,Illinois State,108,177,Illinois State,14,8,94,169,Illinois State
Illinois State,Murray State,65,76,Murray State,5,9,60,67,Murray State
Chicago State,Illinois State,62,91,Illinois State,5,17,57,74,Illinois State
Illinois State,Loyola Chicago,60,90,Loyola Chicago,8,12,52,78,Loyola Chicago
Illinois State,Loyola Chicago,55,86,Loyola Chicago,8,8,47,78,Loyola Chicago
Indiana State,Illinois State,73,65,Indiana State,5,7,68,58,Indiana State
Indiana State,Illinois State,74,68,Indiana State,5,7,69,61,Indiana State
Valparaiso,Illinois State,69,60,Valparaiso,9,7,60,53,Valparaiso
Valparaiso,Illinois State,70,66,Valparaiso,6,7,64,59,Valparaiso
Missouri State,Illinois State,74,67,Missouri State,7,7,67,60,Missouri State
Missouri State,Illinois State,72,62,Missouri State,11,10,61,52,Missouri State
Illinois State,Southern Illinois,80,55,Illinois State,10,6,70,49,Illinois State
Illinois State,Southern Illinois,49,59,Southern Illinois,4,10,45,49,Southern Illinois
Northern Iowa,Illinois State,70,56,Northern Iowa,5,5,65,51,Northern Iowa
Northern Iowa,Illinois State,94,87,Northern Iowa,11,8,83,79,Northern Iowa
Truman State,Indiana State,66,80,Indiana State,12,5,54,75,Indiana State
Southeast Missouri State,Indiana State,66,72,Indiana State,6,4,60,68,Indiana State
Indiana State,Missouri State,74,84,Missouri State,9,8,65,76,Missouri State
Indiana State,Missouri State,66,70,Missouri State,5,6,61,64,Missouri State
Loyola Chicago,Indiana State,71,76,Indiana State,9,8,62,68,Indiana State
Loyola Chicago,Indiana State,58,48,Loyola Chicago,6,7,52,41,Loyola Chicago
Southern Illinois,Indiana State,66,69,Indiana State,8,5,58,64,Indiana State
Southern Illinois,Indiana State,59,71,Indiana State,8,8,51,63,Indiana State
Indiana State,Northern Iowa,61,57,Indiana State,6,7,55,50,Indiana State
Indiana State,Northern Iowa,67,70,Northern Iowa,9,11,58,59,Northern Iowa
Indiana State,Valparaiso,58,43,Indiana State,3,3,55,40,Indiana State
Indiana State,Valparaiso,58,70,Valparaiso,6,8,52,62,Valparaiso
Lewis,Loyola Chicago,48,76,Loyola Chicago,4,10,44,66,Loyola Chicago
Chicago State,Loyola Chicago,51,88,Loyola Chicago,2,8,49,80,Loyola Chicago
St. Francis (ILL),Loyola Chicago,55,92,Loyola Chicago,5,12,50,80,Loyola Chicago
Northern Iowa,Loyola Chicago,57,72,Loyola Chicago,5,6,52,66,Loyola Chicago
Northern Iowa,Loyola Chicago,46,88,Loyola Chicago,3,11,43,77,Loyola Chicago
Loyola Chicago,Valparaiso,75,39,Loyola Chicago,5,3,70,36,Loyola Chicago
Loyola Chicago,Missouri State,72,46,Loyola Chicago,2,6,70,40,Loyola Chicago
Loyola Chicago,Missouri State,70,50,Loyola Chicago,8,0,62,50,Loyola Chicago
Valparaiso,Loyola Chicago,52,54,Loyola Chicago,5,10,47,44,Valparaiso
Southern Illinois,Loyola Chicago,52,60,Loyola Chicago,12,5,40,55,Loyola Chicago
Southern Illinois,Loyola Chicago,58,65,Loyola Chicago,7,3,51,62,Loyola Chicago
William Jewell,Missouri State,64,73,Missouri State,9,5,55,68,Missouri State
Northwestern State,Missouri State,67,94,Missouri State,7,12,60,82,Missouri State
Little Rock,Missouri State,77,85,Missouri State,7,13,70,72,Missouri State
Missouri State,Northern Iowa,79,59,Missouri State,11,4,68,55,Missouri State
Missouri State,Northern Iowa,75,85,Northern Iowa,8,7,67,78,Northern Iowa
Missouri State,Valparaiso,81,68,Missouri State,9,11,72,57,Missouri State
Missouri State,Valparaiso,78,68,Missouri State,7,7,71,61,Missouri State
Missouri Science & Technology,Missouri State,49,94,Missouri State,10,11,39,83,Missouri State
Southern Illinois,Missouri State,53,65,Missouri State,5,6,48,59,Missouri State
Missouri State,Southern Illinois,68,53,Missouri State,5,6,63,47,Missouri State
Northern Iowa,Saint Mary's,64,66,Saint Mary's,7,9,57,57,Western Kentucky
Utah State,Northern Iowa,82,71,Utah State,7,14,75,57,Utah State
St. Ambrose,Northern Iowa,53,98,Northern Iowa,2,10,51,88,Northern Iowa
Coe,Northern Iowa,60,70,Northern Iowa,8,9,52,61,Northern Iowa
Northern Iowa,Southern Illinois,74,62,Northern Iowa,5,6,69,56,Northern Iowa
Northern Iowa,Southern Illinois,68,71,Southern Illinois,7,15,61,56,Northern Iowa
Valparaiso,Northern Iowa,70,57,Valparaiso,11,5,59,52,Valparaiso
Valparaiso,Northern Iowa,60,74,Northern Iowa,4,8,56,66,Northern Iowa
Southern Illinois,Southeast Missouri State,87,79,Southern Illinois,9,6,78,73,Southern Illinois
Quincy,Southern Illinois,61,102,Southern Illinois,7,10,54,92,Southern Illinois
Murray State,Southern Illinois,66,70,Southern Illinois,8,9,58,61,Southern Illinois
North Dakota,Southern Illinois,64,85,Southern Illinois,11,10,53,75,Southern Illinois
North Dakota,Southern Illinois,50,62,Southern Illinois,6,6,44,56,Southern Illinois
Valparaiso,Southern Illinois,66,65,Valparaiso,8,9,58,56,Valparaiso
Valparaiso,Southern Illinois,64,67,Southern Illinois,8,4,56,63,Southern Illinois
Valparaiso,Vanderbilt,71,77,Vanderbilt,11,8,60,69,Vanderbilt
Judson College,Valparaiso,45,85,Valparaiso,4,10,41,75,Valparaiso
SIU Edwardsville,Valparaiso,58,80,Valparaiso,2,7,56,73,Valparaiso
Purdue Northwest,Valparaiso,71,89,Valparaiso,8,5,63,84,Valparaiso
Seattle U,Air Force,63,45,Seattle U,11,6,52,39,Seattle U
Lamar,Air Force,44,59,Air Force,1,9,43,50,Air Force
Air Force,Nevada,57,74,Nevada,6,8,51,66,Nevada
Air Force,Nevada,68,66,Air Force,6,2,62,64,Nevada
Utah State,Air Force,83,48,Utah State,12,5,71,43,Utah State
Utah State,Air Force,72,53,Utah State,7,5,65,48,Utah State
Air Force,Boise State,59,78,Boise State,5,10,54,68,Boise State
Air Force,Boise State,69,80,Boise State,9,7,60,73,Boise State
Wyoming,Air Force,69,72,Air Force,10,8,59,64,Air Force
Wyoming,Air Force,77,58,Wyoming,16,1,61,57,Wyoming
San Diego State,Air Force,98,61,San Diego State,13,9,85,52,San Diego State
San Diego State,Air Force,91,59,San Diego State,16,8,75,51,San Diego State
Air Force,San José St,58,59,San José St,8,6,50,53,San José St
Air Force,San José St,62,75,San José St,11,9,51,66,San José St
Air Force,UNLV,58,68,UNLV,15,2,43,66,UNLV
Air Force,UNLV,64,69,UNLV,9,9,55,60,UNLV
Fresno State,Air Force,69,63,Fresno State,6,11,63,52,Fresno State
Fresno State,Air Force,67,64,Fresno State,2,6,65,58,Fresno State
New Mexico,Air Force,73,65,New Mexico,2,6,71,59,New Mexico
New Mexico,Air Force,55,62,Air Force,5,4,50,58,Air Force
Air Force,Colorado State,49,72,Colorado State,5,9,44,63,Colorado State
Boise State,Sam Houston State,86,55,Boise State,10,3,76,52,Boise State
College of Idaho,Boise State,49,86,Boise State,5,7,44,79,Boise State
Boise State,BYU,74,70,Boise State,6,7,68,63,Boise State
New Mexico,Boise State,53,77,Boise State,5,5,48,72,Boise State
New Mexico,Boise State,52,89,Boise State,1,11,51,78,Boise State
Boise State,San José St,106,54,Boise State,11,3,95,51,Boise State
Boise State,San José St,87,86,Boise State,8,14,79,72,Boise State
Boise State,Wyoming,83,60,Boise State,7,6,76,54,Boise State
Boise State,Wyoming,90,70,Boise State,5,7,85,63,Boise State
Fresno State,Boise State,51,73,Boise State,3,6,48,67,Boise State
Boise State,Colorado State,56,78,Colorado State,5,8,51,70,Colorado State
Boise State,Colorado State,85,77,Boise State,9,9,76,68,Boise State
Boise State,Nevada,72,74,Nevada,11,8,61,66,Nevada
Boise State,Nevada,62,73,Nevada,7,6,55,67,Nevada
UNLV,Boise State,66,78,Boise State,12,8,54,70,Boise State
UNLV,Boise State,59,61,Boise State,8,8,51,53,Boise State
Utah State,Boise State,70,79,Boise State,3,8,67,71,Boise State
Utah State,Boise State,77,81,Boise State,4,7,73,74,Boise State
Boise State,San Diego State,66,78,San Diego State,12,6,54,72,San Diego State
Boise State,San Diego State,58,62,San Diego State,5,5,53,57,San Diego State
Colorado State-Pueblo,Colorado State,77,89,Colorado State,11,6,66,83,Colorado State
Colorado State,Saint Mary's,33,53,Saint Mary's,2,7,31,46,Saint Mary's
Colorado State,Santa Clara,70,57,Colorado State,10,5,60,52,Colorado State
Fresno State,Colorado State,53,75,Colorado State,4,12,49,63,Colorado State
Fresno State,Colorado State,59,81,Colorado State,6,9,53,72,Colorado State
Colorado State,San Diego State,70,67,Colorado State,11,14,59,53,Colorado State
Colorado State,San Diego State,65,78,San Diego State,7,14,58,64,San Diego State
UNLV,Colorado State,71,74,Colorado State,7,12,64,62,UNLV
UNLV,Colorado State,80,83,Colorado State,6,16,74,67,UNLV
Colorado State,San José St,90,57,Colorado State,12,8,78,49,Colorado State
Colorado State,San José St,88,61,Colorado State,12,6,76,55,Colorado State
Colorado State,Utah State,64,83,Utah State,9,10,55,73,Utah State
Colorado State,Utah State,84,76,Colorado State,9,8,75,68,Colorado State
Colorado State,Wyoming,74,72,Colorado State,6,10,68,62,Colorado State
Colorado State,Wyoming,68,59,Colorado State,3,6,65,53,Colorado State
William Jessup,Fresno State,47,87,Fresno State,8,5,39,82,Fresno State
Fresno Pacific,Fresno State,65,78,Fresno State,10,8,55,70,Fresno State
